"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
14818,3.18851666666667,20.901569,2.94,-4.73,11.2,8.75,1.371,0
14821,3.18942186666667,13.047845,9.47,-15.66,17.08,6.11,1.038,0
14829,3.19155873333333,5.588943,3.24,30.08,-11.85,9.54,0.436,0
14835,3.19288413333333,4.723263,4.77,-5.66,-9.17,7.93,0.904,0
14838,3.19382373333333,19.726677,19.44,154.61,-8.39,4.35,1.033,0
14842,3.19501293333333,8.118782,3.65,23.3,17.76,8.55,0.049,0
14843,3.19518746666667,11.141712,6.61,10.03,-124.12,9.14,0.678,0
14847,3.19565513333333,23.987068,2.45,-0.45,-11.02,8.85,0.47,0
14861,3.1988776,10.964451,2.37,2.82,-14.19,8.87,1.176,0
14863,3.1989852,16.165988,4.6,-3.94,-5.79,7.46,1.61,0
14897,3.20422266666667,14.039531,2.53,23.44,-1.55,8.78,1.671,0
14901,3.20449326666667,17.301087,3.45,-9.97,-5.28,8.4,0.335,0
14906,3.20630553333333,10.326395,3.05,-7.43,-5.56,9.91,0.739,0
14908,3.20687446666667,22.880583,12.61,-10.53,34.93,8.82,0.559,0
14909,3.20690506666667,15.04263,8.63,11.66,-34.33,10.57,0.584,0
14910,3.20691433333333,16.516735,7.68,-5.85,-15.19,7.33,0.181,0
14915,3.20732366666667,6.660883,4.18,-8.09,-1.26,5.55,1.011,0
14929,3.20914233333333,18.943572,9.58,12.22,-22.94,8.42,0.526,0
14937,3.21010066666667,3.961061,6.34,26.35,-3.91,9.41,0.587,0
14950,3.21195766666667,3.464827,8.05,-43.67,-44.4,9.76,0.587,0
14961,3.21421433333333,4.81939,3.26,-3.06,-3.34,11.28,1.439,0
14971,3.21668186666667,17.132225,8.21,35.48,-10.83,8.52,0.46,0
14974,3.2172476,20.729908,19.2,-44.39,-65.23,8.65,0.617,0
14977,3.21755886666667,11.268633,3.8,10.03,-6.31,7.8,0.661,0
14992,3.2204486,3.821107,15.89,273.22,-225.92,9.85,0.94,0
14993,3.22081,21.644716,3.41,64.98,-38.58,8.23,0.496,0
14996,3.22114953333333,6.423987,2.8,10.49,-13.19,9.45,1.392,0
14997,3.2218746,11.553611,16.3,26.46,-19.44,9.18,0.712,0
15015,3.22599926666667,7.798744,3.98,35.28,1.95,9.24,0.473,0
15020,3.22680893333333,7.708675,24.82,-130.88,-300.64,11.9,1.44,0
15038,3.23060606666667,22.25251,5.31,-9.35,-41.29,8.64,0.593,0
15048,3.23191273333333,18.973337,3.08,25.67,10.51,6.51,1.487,0
15052,3.23300326666667,17.888694,1.85,-1.41,-3.44,9.3,0.276,0
15054,3.23346546666667,10.453345,8.27,63.36,-67.56,8.46,0.56,0
15057,3.23371593333333,24.265279,2.12,-8.75,-4.86,8.19,1.51,0
15062,3.23466366666667,18.303813,24.52,-15.3,-227.78,8.12,0.624,0
15064,3.2356658,15.590418,7.46,23.36,-12.26,7.17,0.072,0
15072,3.2380986,22.953768,5.8,59.19,-8.35,6.76,1.111,0
